Name,Moelcular Formula,Dipole,Ref
dioxide dimer complex,,,
Carbon oxysulfide–water,COS•H2O,2.668 ± 0.003,37
complex,,,
Carbonyl chloride,CCl2O,1.17 ± 0.01,1
Carbonyl fluoride,CF2O,0.95 ± 0.01,1
Chloroacetyl chloride,C2H2Cl2O,2.23 ± 0.11,1
Chloroacetylene,C2HCl,0.44408,5
2-Chloroaniline,C6H6ClN,[1.77],7
Chlorobenzene,C6H5Cl,1.69 ± 0.03,1
1-Chlorobutane,C4H9Cl,2.05 ± 0.04,1
2-Chlorobutane,C4H9Cl,2.04 ± 0.10,1
Chlorocyclohexane (axial),C6H11Cl,1.91 ± 0.02,5
Chlorocyclohexane,C6H11Cl,2.44 ± 0.07,5
(equitorial),,,
"1-Chloro-1,1-difluoroethane",C2H3ClF2,2.14 ± 0.04,1
Chlorodifluoromethane,CHClF2,1.42 ± 0.03,1
Chloroethane,C2H5Cl,2.05 ± 0.02,1
2-Chloroethanol,C2H5ClO,1.78 ± 0.09,1
Chloroethene,C2H3Cl,1.45 ± 0.03,1
1-Chloro-4-fluorobenzene,C6H4ClF,0.12 ± 0.01,66
1-Chloro-1-fluoroethane,C2H4ClF,2.068 ± 0.014,3
Chlorofluoromethane,CH2ClF,1.82 ± 0.04,1
Chloromethane,CH3Cl,1.8963 ± 0.0002,5
(Chloromethyl)benzene,C7H7Cl,[1.82],7
1-Chloro-3-methylbutane,C5H11Cl,[1.92],7
1-Chloro-2-methylpropane,C4H9Cl,2.00 ± 0.10,1
2-Chloro-2-methylpropane,C4H9Cl,2.13 ± 0.04,1
1-Chloronaphthalene,C10H7Cl,[1.57],7
1-Chloro-2-nitrobenzene,C6H4ClNO2,4.64 ± 0.09,1
1-Chloro-3-nitrobenzene,C6H4ClNO2,3.73 ± 0.07,1
1-Chloro-4-nitrobenzene,C6H4ClNO2,2.83 ± 0.06,1
1-Chlorooctane,C8H17Cl,[2.00],7
Chloropentafluoroethane,C2ClF5,0.52 ± 0.05,1
1-Chloropentane,C5H11Cl,2.16 ± 0.11,1
4-Chlorophenol,C6H5ClO,2.11 ± 0.11,1
1-Chloropropane (gauche),C3H7Cl,2.02 ± 0.03,5
1-Chloropropane (trans),C3H7Cl,1.95 ± 0.02,5
1-Chloropropane (average),C3H7Cl,2.05 ± 0.04,1
2-Chloropropane,C3H7Cl,2.17 ± 0.11,1
cis-1-Chloropropene,C3H5Cl,1.67 ± 0.08,1
trans-1-Chloropropene,C3H5Cl,1.97 ± 0.10,1
2-Chloropropene,C3H5Cl,1.647 ± 0.010,3
3-Chloropropene,C3H5Cl,1.94 ± 0.10,1
4-Chloropyridine,C5H4ClN,0.756 ± 0.005,3
2-Chlorotoluene,C7H7Cl,1.56 ± 0.08,1
3-Chlorotoluene,C7H7Cl,[1.82],7
4-Chlorotoluene,C7H7Cl,2.21 ± 0.04,1
Chlorotrifluoroethene,C2ClF3,0.40 ± 0.10,1
Chlorotrifluoromethane,CClF3,0.50 ± 0.01,1
o-Cresol,C7H8O,[1.45],7
m-Cresol,C7H8O,[1.48],7
p-Cresol,C7H8O,[1.48],7
Cyanamide,CH2N2,4.28 ± 0.10,5
Cyanoacetylene,C3HN,3.73172,5
Cyanoformamide,C2H2N2O,4.10 ± 0.12,47
Cyanogen azide (NCN3),CN4,2.96 ± 0.07,60
Cyanogen chloride,CClN,2.8331 ± 0.0002,3
Cyanogen fluoride,CFN,2.120 ± 0.001,3
Cyanogen iodide,CIN,3.67 ± 0.02,5
Cyanomethylmercury,C2H3HgN,4.7 ± 0.1,12
Cyclobutanecarbonitrile,C5H7N,4.04 ± 0.04,5
Cyclobutanone,C4H6O,2.89 ± 0.03,2
Cyclobutene,C4H6,0.132 ± 0.001,1
"1,3-Cycloheptadiene",C7H10,0.74,3
"2,4,6-Cycloheptatrien-1-one",C7H6O,4.1 ± 0.3,3
"3,5-Cyclohexadiene-1,2-",C6H4O2,4.23 ± 0.02,3
dione,,,
Cyclohexanone,C6H10O,3.246 ± 0.006,5
Cyclohexene (half-chair),C6H10,0.332 ± 0.012,2
Cyclohexylamine,C6H13N,[1.26],7
"1,3-Cyclopentadiene",C5H6,0.419 ± 0.004,1
"2,4-Cyclopentadien-1-one",C5H4O,3.132 ± 0.007,3
Cyclopentanone,C5H8O,≈3.3,1
Cyclopentene,C5H8,0.20 ± 0.02,1
3-Cyclopenten-1-one,C5H6O,2.79 ± 0.03,3
Cyclopropane-sulfur dioxide,C3H6•O2S,1.681 ± 0.001,30
complex,,,
Cyclopropanone,C3H4O,2.67 ± 0.13,2
CycMlooplreocpuelanre,C3H4,0.454 ± 0.010,1
Cyclopropylamine,C3H7N,1.19 ± 0.01,2
Cyclopropyl methyl ketone,C5H8O,2.62 ± 0.25,2
Diacetone alcohol,C6H12O2,[3.24],7
Diazomethane,CH2N2,1.50 ± 0.01,1
Dibromodifluoromethane,CBr2F2,0.66 ± 0.05,1
"1,2-Dibromoethane",C2H4Br2,[1.19],7
Dibromomethane,CH2Br2,1.43 ± 0.03,1
"1,2-Dibromopropane",C3H6Br2,[1.2],7
Dibutylamine,C8H19N,[0.98],7
Dibutyl ether,C8H18O,1.17 ± 0.06,1
Dibutyl phthalate,C16H22O4,[2.82],7
Dibutyl sebacate,C H O,[2.48],7
Dibutyl sulfide,C8H18S,[1.61],7
o-Dichlorobenzene,C6H4Cl2,2.50 ± 0.05,1
m-Dichlorobenzene,C6H4Cl2,1.72 ± 0.09,1
"1,4-Dichlorobutane",C4H8Cl2,2.22 ± 0.11,1
"1,1-Dichloro-2,2-",C2Cl2F2,0.5,7
difluoroethene,,,
Dichlorodifluoromethane,CCl2F2,0.51 ± 0.05,1
"1,1-Dichloroethane",C2H4Cl2,2.06 ± 0.04,1
"1,2-Dichloroethane",C2H4Cl2,[1.83],7
"1,1-Dichloroethene",C2H2Cl2,1.34 ± 0.01,1
"cis-1,2-Dichloroethene",C2H2Cl2,1.90 ± 0.04,1
Dichlorofluoromethane,CHCl2F,1.29 ± 0.03,1
"1,1-Dichloro-2-",C3H3Cl2F,2.43 ± 0.02,3
fluoropropene,,,
Dichloromethane,CH2Cl2,1.60 ± 0.03,1
(Dichloromethyl)benzene,C7H6Cl2,[2.07],7
Dichloromethylborane,CH3BCl2,1.419 ± 0.013,5
"1,2-Dichloropropane",C3H6Cl2,[1.85],7
"1,3-Dichloropropane",C3H6Cl2,2.08 ± 0.04,1
"1,2-Dichloro-1,1,2,2-",C2Cl2F4,≈0.5,1
tetrafluoroethane,,,
"2,4-Dichlorotoluene",C7H6Cl2,[1.70],7
"3,4-Dichlorotoluene",C7H6Cl2,[2.95],7
Diethanolamine,C4H11NO2,[2.8],7
"1,1-Diethoxyethane",C6H14O2,[1.38],7
Diethylamine,C4H11N,0.92 ± 0.05,1
Diethyl carbonate,C5H10O3,1.10 ± 0.06,1
Diethylene glycol,C4H10O3,[2.31],7
Diethylene glycol dimethyl,C6H14O3,[1.97],7
ether,,,
Diethylene glycol monoethyl,C6H14O3,[1.6],7
ether,,,
Diethylene glycol monoethyl,C8H16O4,[1.8],7
ether acetate,,,
