smiles_1,associating,m,sigma,epsilon_k,mu,epsilonAB,KAB,total_residual,mean_residual,max_residual,m_error,sigma_error,epsilon_k_error,mu_error,epsilonAB_error,KAB_error,#DDB
OCCSCCO,True,6.244908837811844,2.86184739440008,283.11489537913366,0.5240446925163269,4.459057567629543e-07,0.01,0.04047789230343962,0.0031136840233415095,0.5,0.4519786741017381,0.10918393391980862,2.5379058526513365,0,61924.35000037845,0,764
O=Cc1cccs1,False,2.8387184507534498,3.5907190790249968,359.1317810767141,1.1967593431472778,0.0,0.0,0.08757923918941557,0.0019038965041177297,0.5,0.01937195494352613,0.008674586341773722,1.4453089428297057,0,0.0,0,1719
CC(=O)c1cccs1,False,3.8579150161867988,3.405198196129274,310.18338109143633,1.3531209230422974,0.0,0.0,0.06517547737333176,0.0025067491297435292,0.5,0.03084414680767947,0.009701082072635089,1.3644966491617059,0,0.0,0,1724
FC1(F)C(F)(F)C(F)(F)C2(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C2(F)C1(F)F,False,4.6142171743812135,4.0435999983889115,222.7388060578907,0.030744904652237892,0.0,0.0,0.7266369328390977,0.015460360273172291,0.5,0.056178652609831556,0.018746872603559655,1.3135881211103608,0,0.0,0,3127
CCCCOC(=O)CCl,False,1.6312887391770745,4.999999999069391,456.31894327830935,1.7152445316314697,0.0,0.0,0.27583783332661793,0.01622575490156576,0.5,1.433070841607335,0.8662962146040636,238.3536760407731,0,0.0,0,2847
FC(F)(F)C(Cl)CCl,False,1.620796512523137,4.5514490366360665,349.39741961253293,1.082547903060913,0.0,0.0,7.383643323843108,0.027550907924787718,0.5,0.03548379482681216,0.03439333435839167,4.656958660994292,0,0.0,0,14971
CCC(C)I,False,1.3176512837566612,4.999999999994065,452.989810662805,0.14927789568901062,0.0,0.0,0.2218582323203029,0.011092911616015146,0.5,0.9382088718447162,0.054035836880696735,189.6525416334186,0,0.0,0,2457
CCCC(C)I,False,2.4706969207884075,4.186557174782613,327.9912772506517,0.2162752002477646,0.0,0.0,0.13817143434251603,0.010628571872501233,0.5,2.8482555873685826,1.7147643846786451,216.4191338728824,0,0.0,0,7137
CC(=O)Cc1ccccc1,False,1.5826544963152243,4.999999999940826,504.0825890007154,0.6531856060028076,0.0,0.0,0.3693075691275461,0.026379112080539006,0.5,2.721071486256136,0.15915140753255405,518.6570315560456,0,0.0,0,1037
CNCCCN,True,2.9392939802565134,3.6715157102504685,292.71428388197444,0.6632930040359497,1632.931692089918,0.01,1.0950106187207544,0.01258632895081327,0.5,0.8925152103095961,0.4114162459697557,40.189817900055374,0,297.34904643522617,0,6633
FC(=C(F)C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F,False,4.789697768057241,3.5504519911560806,170.3673708596251,0.1304004192352295,0.0,0.0,0.5121508261407014,0.006245741782203676,0.5,0.019151141336996167,0.005545823549759961,0.32947930679043924,0,0.0,0,12666
COC(C)(C)CC(C)(C)C,False,3.787900501267271,3.992139303105625,253.79003228138183,0.8355763554573059,0.0,0.0,0.06708127542591726,0.0012900245274214857,0.5,0.007590314431231532,0.002898917480489292,0.2711852481716152,0,0.0,0,12149
CC(=O)C=CC=C(C)CCC=C(C)C,False,2.4440046694097535,4.999999999694602,410.4801976893779,2.9237968921661377,0.0,0.0,6.8440316090656355,0.09777188012950908,0.5,0.3697517463656077,0.19260795558993182,36.63192049133408,0,0.0,0,3607
CC(=O)CCCC(C)CCCC(C)CCCC(C)C,False,3.7158078662197975,4.999999998248904,364.70458390989813,2.645716428756714,0.0,0.0,3.774650449484883,0.08205761846706268,0.5,0.7116725665930879,0.2928312604319179,38.143991561644754,0,0.0,0,3697
CC1CCC(=O)O1,False,2.9249286278185807,3.6018223543311727,357.97059708444533,1.5729196071624756,0.0,0.0,0.7417504313867503,0.009890005751823338,0.5,0.07620526993780163,0.03313097082758088,5.411630489629649,0,0.0,0,1465
CCCCCN=[N+]=[N-],False,1.5217427268716748,4.9999999999933475,321.5736366326415,5.709212779998779,0.0,0.0,0.7356992377774528,0.05254994555553234,0.5,1.9702757372776738,0.057699101405599806,189.99985711149327,0,0.0,0,10229
CCCCCCCI,False,3.960030491504979,3.860090385867091,287.2431184175338,0.1753554344177246,0.0,0.0,0.2080560961638881,0.005475160425365476,0.5,0.7544942846141527,0.2624909772858922,28.05289534479185,0,0.0,0,2105
