smiles,compoundName,sigma_moment_1,sigma_moment_2,sigma_moment_3,sigma_moment_4,sigma_moment_5
c1ccc2c(c1)Nc1ccccc1S2,phenothiazine,0.0,59.4,-22.1,48.7,-48.8
c1ccc2c(c1)Sc1ccccc1S2,thianthrene,0.0,42.2,-6.181377,16.9,-3.787255
C=C(C)C=CC,"(e)-2-methyl-1,3-pentadiene",0.0,22.0,2.550106,7.16336,2.161564
C=CC=C(C)C,"4-methyl-1,3-pentadiene",0.0,23.7,2.582635,8.403158,2.315695
CC(Cl)=CCCl,"1,3-dichloro-2-butene",0.0,38.7,-4.618628,19.1,-5.785282
CN(C)CC#N,2-dimethylaminoacetonitrile,0.0,56.4,26.1,62.1,57.4
C#COCC,ethoxyacetylene,0.0,38.1,1.826334,24.0,-0.821133
N#CC=CC#N,maleonitrile,0.0,67.6,-3.396135,68.7,-11.2
COc1ccc2ccccc2c1,2-methoxynaphthalene,0.0,44.5,1.987094,20.6,6.189773
CC(=O)c1ccc2ccccc2c1,2-acetonaphthone,0.0,60.1,22.5,59.9,59.2
CCOc1ccc2ccccc2c1,naphthylethylether_beta,0.0,45.1,3.541573,20.9,8.413728
Cc1ccc2ccc(C)nc2c1,"2,7-dimethylquinoline",0.0,48.9,27.3,69.1,106.0
CCC(=O)c1ccccc1,propiophenone,0.0,50.3,22.5,50.8,52.7
COC(=O)c1ccccc1,methylbenzoate,0.0,51.0,19.5,45.9,41.8
CN(C=O)c1ccccc1,n-methylformanilide,0.0,66.3,36.5,83.3,96.5
O=C1CCN1,2-azetidinone,0.0,71.9,39.3,133.0,109.0
C=CC1CO1,vinyloxirane,0.0,39.6,16.0,35.8,32.0
Cc1ccoc1,3-methylfuran,0.0,28.9,-0.764994,15.1,-0.332866
ClC1CCCC1,chlorocyclopentane,0.0,24.5,5.301361,10.4,4.364607
O=C1C=CCC1,2-cyclopenten-1-one,0.0,56.6,43.8,86.3,113.0
S=c1sccs1,"1,3-dithiole-2-thione",0.0,42.6,-4.009915,34.8,-7.424175
Cn1cccn1,1-methylpyrazole,0.0,52.4,27.9,73.1,92.1
O=NN1CCCC1,n-nitrosopyrrolidine,0.0,63.6,47.4,84.4,106.0
ClC1=CCCCC1,1-chlorocyclohexene,0.0,20.8,2.2699,6.020234,1.177234
O=C1C=CCCC1,2-cyclohexen-1-one,0.0,54.4,45.4,83.7,116.0
Cc1ccc(C)n1C,"1,2,5-trimethylpyrrole",0.0,36.9,12.6,22.3,15.6
CN1C(=O)C=CC1=O,n-methylmaleimide,0.0,68.3,30.7,72.3,56.2
CCC1CCCC1C,cis-1-ethyl-2-methylcyclopentane,0.0,8.691208,-0.195185,0.778916,-0.042856
Cc1cccc[n+]1[O-],2-methylpyridine1-oxide,0.0,68.7,55.8,125.0,176.0
CN1CCCCC1=O,1-methylpiperidin-2-one,0.0,63.1,71.2,132.0,215.0
COc1ncccn1,2-methoxypyrimidine,0.0,59.4,36.9,80.9,98.9
C1=CC2CCC1CC2,"bicyclo(2,2,2)oct-2-ene",0.0,14.3,3.159608,5.071522,3.028706
C1=CCCCCCC1,cyclooctene,0.0,14.3,3.246612,4.803745,3.019741
CC(=O)c1cccn1C,1-methyl-2-acetylpyrrole,0.0,59.1,32.5,74.8,87.5
Cc1n[nH]c(=O)[nH]c1=O,6-azathymine,0.0,117.0,0.405594,212.0,-64.5
CC1CCCCCC1=O,2-methylcycloheptanone,0.0,45.4,39.1,64.7,89.0
CC(=O)C1=CCCCC1,1-(1-cyclohexen-1-yl)ethanone,0.0,48.8,40.2,71.1,97.1
CNc1ccc(Cl)cc1,4-chlor-n-methylanilin,0.0,46.3,-12.2,33.0,-22.9
CC1(C)C(=O)C(C)(C)C1=O,"2,2,4,4-tetramethyl-1,3-cyclobutanedione",0.0,63.9,36.4,63.1,63.8
Cc1ccccc1C(=O)Cl,2-methylbenzoylchloride,0.0,35.4,1.225693,16.6,2.531706
CCc1cccc(C)c1C,"1-ethyl-2,3-dimethylbenzene",0.0,26.1,2.501109,7.867958,1.977033
O=c1[nH]c2ccccc2s1,s-orthophenylenethiocarbamate,0.0,72.2,-9.621388,112.0,-51.5
S=c1sc2ccccc2s1,"1,3-benzodithiole-2-thione",0.0,39.2,-0.370474,22.3,1.148916
CCc1cc(C)cc(C)c1,"1-ethyl-3,5-dimethylbenzene",0.0,25.2,2.553586,7.258491,1.981087
CCc1ccc(C)c(C)c1,"4-ethyl-1,2-dimethylbenzene",0.0,25.6,2.4828,7.432857,1.936331
ClC12CC3CC(CC(C3)C1)C2,1-chloroadamantane,0.0,26.7,9.732392,11.8,7.987587
O=C1OC(=O)C2CC=CCC12,"cis-1,2,3,6-tetrahydrophthalicanhydride",0.0,77.7,13.9,65.4,21.5
Cc1cnc2cncnc2n1,7-methylpteridin,0.0,88.4,62.4,137.0,177.0
c1ccc(C2=NNCC2)cc1,"4,5-dihydro-3-phenyl-1h-pyrazole",0.0,64.4,16.8,73.0,47.7
C1=NN(c2ccccc2)CC1,"4,5-dihydro-1-phenyl-1h-pyrazole",0.0,50.7,11.5,33.0,23.1
CCc1ccc(C(C)=O)cc1,4-ethylacetophenone,0.0,54.0,29.3,60.5,70.0
CC(C)(C)C(=O)c1ccccc1,"2,2-dimethylpropiophenone",0.0,49.4,20.9,46.8,47.1
COc1cccc2cccnc12,8-methoxyquinoline,0.0,65.0,40.9,103.0,157.0
CCc1ccc2ccccc2c1,2-ethylnaphthalene,0.0,32.5,-2.211959,9.079252,-1.510217
O=[N+]([O-])c1ccc2[nH]cnc2c1,5-nitro-1h-benzimidazole,0.0,106.0,-5.097938,182.0,-35.0
CCCc1ccc2c(c1)OCO2,dihydrosafrole,0.0,45.7,4.861592,25.9,8.406407
Cl[Si](Cl)(Cl)CCc1ccccc1,trichloro(2-phenylethyl)silane,0.0,37.3,-6.903897,12.3,-4.873557
C#CC(C)(C)Cl,3-chloro-3-methyl-1-butyne,0.0,39.6,-5.908703,25.1,-13.9
FP(F)C(Cl)(Cl)Cl,(trichloromethyl)-phosphonousdifluoride,0.0,17.4,-5.684762,6.267222,-4.429209
FC(F)(C(Cl)Cl)C(Cl)Cl,"1,1,3,3-tetrachloro-2,2-difluoropropane",0.0,33.4,-23.1,31.8,-38.4
CB(C)N(C)C,"n,n,1,1-tetramethylboranamine",0.0,13.5,0.480635,2.677455,0.30053
C=CC(C)C=C,"3-methyl-1,4-pentadiene",0.0,25.3,3.725433,9.553791,3.537561
FC(C(F)(F)F)C(F)(Cl)Cl,"1,1-dichloro-1,2,3,3,3-pentafluoropropane",0.0,23.9,-19.9,27.0,-35.2
N#CP(C#N)C#N,tricyanophosphine,0.0,72.8,-26.9,87.6,-76.0
CC(=O)c1ccc(C(C)(C)C)cc1,phenomuscol,0.0,56.0,29.3,60.7,70.2
N#CC1CC2C=CC1C2,5-norbornene-2-carbonitrile,0.0,52.6,25.0,48.9,45.4
C1=Cc2ccccc2C1,1h-indene,0.0,30.9,-0.691069,10.3,-0.596667
c1ccc2[nH]nnc2c1,1h-benzotriazole,0.0,81.2,-8.421306,149.0,-50.7
c1ccc2sccc2c1,benzo(b)thiophene,0.0,32.1,-6.66583,12.2,-5.6314
c1ccc2scnc2c1,benzothiazole,0.0,44.6,10.9,49.0,43.1
Cc1ccccc1C,"1,2-dimethylbenzene",0.0,24.8,1.193641,7.422927,0.930366
Cc1ccccc1Cl,1-chloro-2-methylbenzene,0.0,25.0,-3.611366,7.681573,-2.487871
Clc1ccccc1Cl,"1,2-dichlorobenzene",0.0,25.2,-6.950676,9.980555,-5.510706
Nc1ccccc1Cl,2-chloroaniline,0.0,49.9,-15.6,47.6,-27.1
Cc1ccccc1F,2-fluorotoluene,0.0,25.5,-2.511915,8.298532,-1.903696
Cc1ccccc1N,2-methyl-benzeneamine,0.0,53.5,-3.06468,51.8,-3.567721
ClC1OCCOC1Cl,"2,3-dichloro-1,4-dioxane",0.0,60.8,-9.770654,40.0,-13.5
Cc1ccc(C)c(C)c1,"1,2,4-trimethylbenzene",0.0,25.0,2.248382,7.480286,1.831934
Cc1ccc(N)cc1C,"3,4-xylylamine",0.0,56.3,-0.22438,57.9,5.764244
Cc1ccc(O)cc1C,"3,4-dimethylphenol",0.0,56.4,-16.4,77.0,-66.7
Cc1ccc(Cl)c(C)c1,"1-chloro-2,4-dimethylbenzene",0.0,25.4,-2.357336,7.193269,-1.552756
Cc1ccc(N)c(C)c1,"2,4-dimethylaniline",0.0,53.6,0.722844,53.2,6.915621
Cc1cc(Cl)ccc1N,2-methyl-4-chloroaniline,0.0,55.5,-12.7,52.0,-19.1
Cc1ccc(C)c(Cl)c1,"2-chloro-1,4-dimethylbenzene",0.0,25.2,-2.224732,7.030136,-1.439062
Cc1ccc(Cl)cc1Cl,"2,4-dichloro-1-methylbenzene",0.0,25.8,-6.50568,9.669299,-5.270524
Cc1ccc(N)cc1Cl,3-chloro-p-toluidine,0.0,56.2,-15.1,56.3,-24.1
Cc1ccc(Cl)c(Cl)c1,"3,4-dichlorotoluene",0.0,25.3,-5.037302,8.694072,-3.773923
Nc1ccc(Cl)c(Cl)c1,"3,4-dichloroaniline",0.0,57.2,-26.3,60.5,-47.7
Cc1ccc(C)c(N)c1,"2,5-xylidine",0.0,53.8,-0.533698,51.9,1.900571
Cc1ccc(Cl)cc1N,5-chloro-o-toluidine,0.0,54.7,-15.2,51.6,-25.9
Cc1ccc(Cl)c(N)c1,2-chlor-5-methyl-aniline,0.0,50.4,-13.0,47.1,-22.4
Nc1cc(Cl)ccc1Cl,"2,5-dichloroaniline",0.0,51.5,-25.6,52.8,-46.7
Cc1cc(C)c(C)cc1C,"1,2,4,5-tetramethylbenzene",0.0,25.6,2.721915,7.551114,2.305397
Clc1cc(Cl)c(Cl)cc1Cl,"1,2,4,5-tetrachlorobenzene",0.0,24.6,-8.31932,12.1,-9.755063
CC1OC(=O)C(C)OC1=O,dilactide(dl),0.0,90.9,21.2,95.5,38.5
c1ccc2c(c1)Cc1cc3ccccc3cc1C2,"5,12-dihydronaphthacene",0.0,49.7,-2.841779,15.0,-1.923841
O=C1C=C(Cl)C(=O)O1,"3-chloro-2,5-furandione",0.0,56.2,-0.641288,46.0,-5.671073
c1ccc(C2CO2)cc1,styreneoxide,0.0,44.9,10.9,31.9,22.5
CCC(C)CC,3-methylpentane,0.0,8.302711,-0.281124,0.783721,-0.06402
CCC(=O)CC,3-pentanone,0.0,43.5,32.4,56.6,72.5
C=CC(=O)OC,methylacrylate,0.0,48.1,23.8,49.7,47.7
CC1CCCC1,methylcyclopentane,0.0,7.060988,-0.147933,0.636784,-0.029873
Clc1cccs1,2-chlorothiophene,0.0,22.3,-7.388639,9.722854,-6.436305
S=C1NCCN1,ethylenethiourea,0.0,98.1,14.6,144.0,15.4
O=C1CCCO1,gamma-butyrolactone,0.0,61.5,38.9,73.7,82.1
O=C1OCCO1,"1,3-dioxolan-2-one",0.0,67.3,22.4,66.9,47.8
Nc1nccs1,2-thiazolamine,0.0,72.1,-4.961981,119.0,9.072842
S=C1NCCS1,"1,3-thiazolidine-2-thione",0.0,77.0,-2.226485,91.3,-25.6
