Unnamed: 0.1,Unnamed: 0,Name,smiles,Valid,sigma,m,epsilon_k,mu,Assoc_scheme,KAB,epsilonAB
1269,1269,cis-4-Methylcyclohexanol,CC1CCC(O)CC1,True,3.950925861714148,2.9092086457786417,286.8605165924249,1.9094430130276208,2B,0.0,0.0
510,510,Tetramethylhydrazine,CN(C)N(C)C,True,3.727069994678682,2.8706282929008475,251.664506961696,1043.0,2B,0.0,0.0
511,511,Ethylurea,CCNC(N)=O,True,3.4976933043765546,3.029612311094178,326.97947919914736,3.676269720790356,,,
1281,1281,1-trans-2-cis-4-Trimethylcyclopentane,CC1CC(C)C(C)C1,True,3.936015696457656,3.153847002566459,273.9244160430379,0.0808785509266826,2B,0.0,0.0
1299,1299,1-cis-2-trans-4-Trimethylcyclopentane,CC1CC(C)C(C)C1,True,3.9360166659508775,3.1538475155955057,273.923952537918,0.0808785509266826,2B,0.0,0.0
521,521,Valeraldehyde,CCCCC=O,True,3.569325466828805,3.2021079348310337,245.714043363356,2.6331592488871616,2B,0.0,0.0
527,527,L-Alanine,CC(N)C(=O)O,True,3.603023114952017,2.694309709678908,423.8910114842487,5.274185686909402,2B,1.49741373723044,2030.3330941531292
1315,1315,X+Y-2-Ethylbutanoic_acid,CCC(CC)C(=O)O,True,3.757980066028912,3.394871032380011,333.0876263380003,4.035508715143607,2B,0.982427835032496,2872.950880188997
1317,1317,X+Y-3-Methylheptane,CCCCC(C)CC,True,3.834229240738781,3.7488769870887353,238.58197976859972,0.0975193314169042,2B,0.0,0.0
530,530,2-Methylbutyraldehyde,CCC(C)C=O,True,3.6525792972541233,2.999869574504398,262.41036827098026,2.841004676166514,2B,0.0,0.0
538,538,X-Y-Pentan-2-ol,CCCC(C)O,True,3.6207887207284286,3.162218081651893,229.9820566037816,1.5475980615133893,2B,0.2778791505702086,2718.868811327849
539,539,2-Pentanol,CCCC(C)O,True,3.6207512437812777,3.1622813639200578,229.9889627814205,1.5475320125929544,2B,0.277878399618521,2718.871561343408
1329,1329,X+Y-5-Methylhexan-3-ol,CCC(O)CC(C)C,True,3.7948027436341087,3.619873103520327,245.692613163976,1.4502907329221957,2B,0.0,0.0
1330,1330,X-Y-2-Ethylbutanoic_acid,CCC(CC)C(=O)O,True,3.757991365734997,3.3948599208540555,333.0858757768584,4.035523148242368,2B,0.0,0.0
1332,1332,X+Y-Heptan-3-ol,CCCCC(O)CC,True,3.69963206943972,3.927987190409152,236.39419658080803,1.5865306709925275,2B,0.0,0.0
550,550,2-Methyl-1-butanol,CCC(C)CO,True,3.6918105512795902,2.985804589306113,238.67022672864329,1.7622051242690222,2B,0.3978591937800744,2718.858933548108
1353,1353,X+Y-3-Methylpentanoic_acid,CCC(C)CC(=O)O,True,3.7379695355146016,3.447740522802353,327.59370747280275,4.0428590044670125,2B,0.0,0.0
559,559,Ethyl_acetate,CCOC(C)=O,True,3.4322238758497514,3.0645515076063754,249.7187584285654,1.7895182619911985,2B,0.0,0.0
